Artist,avgSent,deltaSTotal,deltaSEarly,deltaSLate
Roy Orbison,"[0.102, 0.042, 0.856]","[0.009, 0.0, -0.009]","[0.014, -0.002, -0.012]","[-0.005, 0.002, 0.003]"
Rush,"[0.069, 0.051, 0.88]","[-0.014, -0.019, 0.033]","[-0.018, -0.021, 0.039]","[0.003, 0.002, -0.006]"
Santana,"[0.084, 0.039, 0.877]","[0.077, 0.016, -0.093]","[0.044, 0.011, -0.055]","[0.033, 0.005, -0.038]"
Scorpions,"[0.082, 0.05, 0.868]","[-0.001, 0.001, 0.0]","[-0.009, 0.007, 0.002]","[0.008, -0.006, -0.002]"
Sia,"[0.074, 0.04, 0.886]","[-0.085, -0.019, 0.105]","[-0.029, -0.008, 0.037]","[-0.056, -0.012, 0.068]"
Slayer,"[0.051, 0.089, 0.86]","[-0.001, 0.03, -0.029]","[-0.001, 0.022, -0.021]","[0.0, 0.008, -0.008]"
Snoop Dogg,"[0.074, 0.038, 0.888]","[0.086, -0.002, -0.084]","[0.012, -0.002, -0.01]","[0.075, -0.001, -0.074]"
Soundgarden,"[0.062, 0.051, 0.887]","[0.024, 0.017, -0.04]","[0.02, 0.01, -0.03]","[0.004, 0.006, -0.01]"
Spandau Ballet,"[0.098, 0.051, 0.851]","[0.032, 0.001, -0.033]","[0.022, 0.01, -0.032]","[0.01, -0.009, -0.001]"
Squeeze,"[0.059, 0.048, 0.894]","[-0.012, -0.044, 0.057]","[0.006, -0.027, 0.021]","[-0.018, -0.017, 0.036]"
Status Quo,"[0.075, 0.044, 0.881]","[-0.004, -0.055, 0.059]","[-0.008, -0.05, 0.059]","[0.005, -0.005, 0.0]"
Steely Dan,"[0.07, 0.038, 0.892]","[-0.013, 0.017, -0.005]","[-0.007, 0.01, -0.003]","[-0.006, 0.007, -0.001]"
Steve Miller Band,"[0.084, 0.037, 0.878]","[-0.037, 0.041, -0.004]","[-0.009, 0.022, -0.013]","[-0.028, 0.019, 0.01]"
Stevie Ray Vaughan,"[0.064, 0.044, 0.892]","[-0.015, 0.04, -0.026]","[-0.018, 0.027, -0.01]","[0.003, 0.013, -0.016]"
Stevie Wonder,"[0.103, 0.055, 0.842]","[-0.051, 0.029, 0.022]","[-0.026, 0.011, 0.014]","[-0.025, 0.018, 0.007]"
Sting,"[0.069, 0.047, 0.884]","[-0.072, 0.024, 0.048]","[-0.073, 0.024, 0.049]","[0.001, 0.001, -0.002]"
Stone Temple Pilots,"[0.054, 0.046, 0.9]","[0.018, -0.016, -0.002]","[0.021, 0.015, -0.036]","[-0.003, -0.032, 0.035]"
Styx,"[0.063, 0.031, 0.906]","[-0.051, -0.012, 0.063]","[-0.027, 0.012, 0.015]","[-0.024, -0.024, 0.048]"
Sublime,"[0.086, 0.044, 0.87]","[-0.008, -0.029, 0.037]","[0.014, -0.018, 0.003]","[-0.022, -0.011, 0.033]"
Supertramp,"[0.094, 0.05, 0.856]","[-0.001, 0.027, -0.026]","[0.053, 0.022, -0.075]","[-0.055, 0.005, 0.05]"
Talking Heads,"[0.061, 0.061, 0.878]","[0.063, 0.033, -0.096]","[0.05, 0.027, -0.077]","[0.013, 0.007, -0.019]"
Taylor Swift,"[0.089, 0.058, 0.853]","[-0.054, 0.111, -0.057]","[-0.026, 0.03, -0.005]","[-0.029, 0.081, -0.053]"
The Temptations,"[0.106, 0.039, 0.855]","[0.081, -0.006, -0.075]","[0.063, -0.012, -0.051]","[0.018, 0.006, -0.024]"
Thin Lizzy,"[0.088, 0.053, 0.86]","[0.046, 0.011, -0.057]","[0.031, 0.011, -0.042]","[0.015, -0.0, -0.015]"
Tiffany,"[0.075, 0.048, 0.877]","[-0.043, 0.01, 0.032]","[-0.026, -0.0, 0.026]","[-0.017, 0.01, 0.007]"
Tim Buckley,"[0.074, 0.042, 0.884]","[-0.044, 0.001, 0.043]","[-0.035, -0.0, 0.035]","[-0.01, 0.002, 0.008]"
Tim McGraw,"[0.058, 0.042, 0.9]","[0.005, -0.012, 0.007]","[0.005, -0.005, -0.0]","[-0.0, -0.007, 0.007]"
Tina Turner,"[0.088, 0.053, 0.859]","[0.023, 0.033, -0.056]","[0.033, 0.026, -0.058]","[-0.01, 0.007, 0.003]"
Tom Jones,"[0.089, 0.044, 0.867]","[-0.037, 0.022, 0.015]","[0.0, 0.013, -0.013]","[-0.037, 0.009, 0.028]"
Tom Lehrer,"[0.052, 0.04, 0.908]","[0.018, -0.018, 0.0]","[-0.025, -0.011, 0.036]","[0.043, -0.007, -0.036]"
Tom T. Hall,"[0.063, 0.041, 0.896]","[-0.006, 0.005, 0.0]","[-0.012, -0.003, 0.015]","[0.006, 0.008, -0.014]"
Tom Waits,"[0.074, 0.049, 0.877]","[0.023, 0.004, -0.027]","[0.034, 0.013, -0.047]","[-0.011, -0.009, 0.02]"
Tori Amos,"[0.071, 0.028, 0.901]","[-0.027, -0.013, 0.04]","[-0.009, -0.003, 0.012]","[-0.018, -0.01, 0.028]"
Toto,"[0.087, 0.049, 0.865]","[0.017, 0.033, -0.05]","[0.011, 0.03, -0.041]","[0.006, 0.003, -0.009]"
Townes Van Zandt,"[0.074, 0.045, 0.881]","[0.016, 0.006, -0.022]","[0.02, 0.002, -0.022]","[-0.004, 0.004, -0.0]"
Tracy Chapman,"[0.078, 0.048, 0.874]","[0.027, -0.038, 0.012]","[0.008, -0.003, -0.005]","[0.019, -0.035, 0.017]"
Train,"[0.072, 0.034, 0.894]","[-0.032, 0.007, 0.025]","[-0.033, 0.008, 0.024]","[0.001, -0.002, 0.001]"
Travis,"[0.063, 0.06, 0.878]","[-0.008, 0.057, -0.049]","[0.004, 0.019, -0.023]","[-0.011, 0.038, -0.026]"
U2,"[0.078, 0.038, 0.884]","[0.051, -0.011, -0.04]","[0.006, 0.003, -0.009]","[0.045, -0.014, -0.031]"
UB40,"[0.074, 0.049, 0.878]","[0.02, -0.003, -0.017]","[0.032, 0.003, -0.035]","[-0.012, -0.006, 0.018]"
Ugly Kid Joe,"[0.068, 0.058, 0.874]","[-0.022, -0.016, 0.038]","[-0.006, -0.006, 0.012]","[-0.016, -0.011, 0.026]"
Ultravox,"[0.064, 0.044, 0.892]","[-0.011, 0.028, -0.017]","[-0.005, 0.011, -0.006]","[-0.007, 0.017, -0.01]"
Uncle Kracker,"[0.058, 0.05, 0.892]","[-0.015, -0.007, 0.022]","[0.009, -0.008, -0.002]","[-0.025, 0.001, 0.024]"
Uncle Tupelo,"[0.066, 0.061, 0.873]","[0.024, -0.002, -0.022]","[0.005, -0.003, -0.002]","[0.019, 0.001, -0.02]"
Underoath,"[0.056, 0.05, 0.894]","[-0.037, -0.01, 0.048]","[-0.046, -0.014, 0.06]","[0.009, 0.003, -0.012]"
Underworld,"[0.052, 0.033, 0.915]","[0.004, -0.003, -0.001]","[0.007, 0.001, -0.008]","[-0.002, -0.004, 0.006]"
Unearth,"[0.055, 0.074, 0.872]","[0.005, -0.014, 0.009]","[0.006, 0.007, -0.013]","[-0.002, -0.021, 0.022]"
Unwritten Law,"[0.095, 0.046, 0.859]","[0.069, 0.017, -0.085]","[0.051, -0.006, -0.045]","[0.018, 0.023, -0.041]"
Uriah Heep,"[0.076, 0.051, 0.874]","[-0.023, 0.002, 0.021]","[-0.028, 0.001, 0.027]","[0.005, 0.001, -0.006]"
Usher,"[0.077, 0.05, 0.873]","[-0.031, 0.031, -0.0]","[-0.017, 0.003, 0.014]","[-0.014, 0.028, -0.014]"
Utopia,"[0.077, 0.05, 0.873]","[-0.024, -0.008, 0.032]","[0.006, -0.002, -0.004]","[-0.03, -0.006, 0.036]"
Van Halen,"[0.072, 0.032, 0.896]","[-0.061, 0.013, 0.048]","[-0.028, 0.019, 0.01]","[-0.033, -0.006, 0.038]"
Van Morrison,"[0.06, 0.034, 0.906]","[0.029, 0.003, -0.032]","[0.021, 0.006, -0.027]","[0.008, -0.003, -0.005]"
Vanessa Williams,"[0.106, 0.043, 0.85]","[0.037, 0.004, -0.041]","[0.0, 0.008, -0.008]","[0.036, -0.004, -0.032]"
Vangelis,"[0.064, 0.036, 0.9]","[-0.051, 0.043, 0.008]","[-0.003, 0.008, -0.006]","[-0.048, 0.035, 0.013]"
Vanilla Ice,"[0.058, 0.039, 0.903]","[-0.012, -0.023, 0.035]","[-0.012, -0.016, 0.027]","[-0.001, -0.007, 0.008]"
Venom,"[0.049, 0.075, 0.875]","[-0.002, -0.018, 0.02]","[-0.001, -0.009, 0.01]","[-0.002, -0.008, 0.01]"
Vertical Horizon,"[0.073, 0.058, 0.869]","[-0.071, -0.028, 0.099]","[-0.053, -0.022, 0.075]","[-0.018, -0.006, 0.024]"
Veruca Salt,"[0.096, 0.045, 0.859]","[0.03, 0.079, -0.109]","[0.056, 0.016, -0.072]","[-0.026, 0.063, -0.037]"
Vince Gill,"[0.088, 0.049, 0.863]","[0.049, 0.024, -0.073]","[0.039, 0.008, -0.047]","[0.009, 0.017, -0.026]"
Violent Femmes,"[0.081, 0.059, 0.861]","[0.088, 0.027, -0.115]","[0.014, 0.006, -0.02]","[0.074, 0.021, -0.095]"
Vonda Shepard,"[0.113, 0.053, 0.834]","[-0.033, 0.004, 0.029]","[-0.016, -0.005, 0.021]","[-0.016, 0.008, 0.008]"
Vybz Kartel,"[0.043, 0.032, 0.925]","[0.012, -0.004, -0.008]","[-0.006, 0.001, 0.005]","[0.018, -0.005, -0.013]"
Wanda Jackson,"[0.091, 0.045, 0.864]","[-0.142, -0.021, 0.163]","[-0.116, -0.013, 0.128]","[-0.027, -0.009, 0.035]"
Warren Zevon,"[0.055, 0.054, 0.891]","[0.023, 0.057, -0.08]","[0.028, 0.054, -0.082]","[-0.005, 0.003, 0.003]"
W.A.S.P.,"[0.07, 0.068, 0.862]","[0.054, 0.027, -0.08]","[0.037, 0.009, -0.046]","[0.017, 0.018, -0.035]"
Waylon Jennings,"[0.072, 0.046, 0.883]","[-0.009, 0.001, 0.008]","[0.003, 0.017, -0.02]","[-0.012, -0.016, 0.028]"
Ween,"[0.068, 0.051, 0.88]","[-0.036, 0.018, 0.018]","[-0.035, 0.022, 0.013]","[-0.001, -0.004, 0.005]"
Weezer,"[0.064, 0.055, 0.881]","[0.039, -0.0, -0.039]","[0.056, 0.028, -0.084]","[-0.016, -0.028, 0.045]"
Westlife,"[0.096, 0.044, 0.86]","[-0.048, -0.012, 0.061]","[-0.003, -0.0, 0.003]","[-0.045, -0.012, 0.058]"
Wet Wet Wet,"[0.093, 0.032, 0.875]","[0.024, -0.009, -0.015]","[0.034, -0.002, -0.032]","[-0.01, -0.007, 0.017]"
The White Stripes,"[0.072, 0.043, 0.885]","[0.034, 0.054, -0.088]","[0.043, 0.034, -0.077]","[-0.009, 0.02, -0.011]"
Whitesnake,"[0.113, 0.057, 0.83]","[-0.04, -0.043, 0.083]","[-0.042, -0.036, 0.077]","[0.002, -0.008, 0.005]"
Whitney Houston,"[0.094, 0.039, 0.868]","[-0.053, -0.029, 0.082]","[-0.05, -0.012, 0.061]","[-0.003, -0.017, 0.021]"
Widespread Panic,"[0.07, 0.034, 0.896]","[-0.087, 0.008, 0.079]","[-0.066, 0.007, 0.059]","[-0.021, 0.0, 0.02]"
Will Smith,"[0.06, 0.048, 0.891]","[0.014, -0.026, 0.012]","[-0.0, -0.014, 0.015]","[0.014, -0.012, -0.002]"
Willie Nelson,"[0.089, 0.052, 0.86]","[0.01, -0.017, 0.007]","[0.014, -0.014, 0.001]","[-0.004, -0.003, 0.006]"
Wishbone Ash,"[0.076, 0.052, 0.872]","[0.023, 0.003, -0.027]","[0.007, 0.001, -0.008]","[0.016, 0.003, -0.019]"
Within Temptation,"[0.069, 0.068, 0.863]","[-0.036, 0.027, 0.009]","[-0.019, 0.022, -0.003]","[-0.017, 0.005, 0.012]"
Wiz Khalifa,"[0.05, 0.052, 0.898]","[0.014, -0.002, -0.012]","[0.001, 0.018, -0.019]","[0.013, -0.019, 0.006]"
Wyclef Jean,"[0.054, 0.036, 0.91]","[-0.049, 0.029, 0.02]","[-0.035, 0.021, 0.013]","[-0.014, 0.008, 0.006]"
X,"[0.046, 0.041, 0.913]","[-0.008, 0.014, -0.006]","[0.001, 0.005, -0.005]","[-0.009, 0.009, -0.001]"
Xandria,"[0.073, 0.056, 0.871]","[-0.022, -0.007, 0.029]","[-0.009, -0.022, 0.031]","[-0.012, 0.014, -0.002]"
Xavier Rudd,"[0.088, 0.04, 0.872]","[0.063, -0.014, -0.049]","[0.024, -0.015, -0.009]","[0.039, 0.001, -0.04]"
Xiu Xiu,"[0.076, 0.049, 0.874]","[-0.004, 0.009, -0.005]","[-0.008, 0.0, 0.008]","[0.004, 0.009, -0.013]"
Xscape,"[0.073, 0.039, 0.888]","[0.008, -0.022, 0.014]","[0.008, -0.012, 0.004]","[0.0, -0.01, 0.01]"
XTC,"[0.066, 0.049, 0.885]","[0.004, 0.014, -0.018]","[-0.0, 0.011, -0.01]","[0.004, 0.003, -0.007]"
Xzibit,"[0.053, 0.05, 0.898]","[-0.0, -0.001, 0.001]","[0.002, -0.005, 0.003]","[-0.002, 0.004, -0.002]"
Yazoo,"[0.069, 0.042, 0.889]","[0.02, 0.022, -0.041]","[0.014, 0.016, -0.03]","[0.006, 0.006, -0.011]"
Yeah Yeah Yeahs,"[0.052, 0.03, 0.918]","[0.03, -0.001, -0.029]","[0.02, 0.005, -0.026]","[0.01, -0.006, -0.004]"
Yello,"[0.062, 0.045, 0.893]","[-0.062, -0.045, 0.106]","[-0.05, -0.025, 0.076]","[-0.011, -0.019, 0.03]"
Yellowcard,"[0.076, 0.048, 0.876]","[-0.003, -0.017, 0.02]","[-0.006, -0.007, 0.013]","[0.003, -0.01, 0.007]"
Yes,"[0.071, 0.03, 0.899]","[-0.02, 0.004, 0.015]","[-0.001, 0.014, -0.013]","[-0.018, -0.009, 0.028]"
Yngwie Malmsteen,"[0.082, 0.071, 0.846]","[-0.031, 0.005, 0.026]","[-0.013, -0.003, 0.016]","[-0.018, 0.008, 0.01]"
Yo Gotti,"[0.056, 0.047, 0.897]","[-0.005, 0.008, -0.002]","[0.005, -0.001, -0.004]","[-0.011, 0.009, 0.002]"
Yo La Tengo,"[0.051, 0.054, 0.895]","[-0.025, 0.014, 0.011]","[-0.016, 0.011, 0.005]","[-0.009, 0.004, 0.006]"
Yoko Ono,"[0.067, 0.041, 0.892]","[0.108, -0.05, -0.058]","[0.016, -0.023, 0.007]","[0.092, -0.026, -0.065]"
Yolanda Adams,"[0.106, 0.055, 0.839]","[-0.038, 0.001, 0.037]","[-0.047, -0.008, 0.055]","[0.008, 0.009, -0.017]"
Yonder Mountain String Band,"[0.061, 0.054, 0.885]","[0.053, 0.032, -0.085]","[0.04, 0.015, -0.056]","[0.013, 0.016, -0.029]"
You Am I,"[0.053, 0.052, 0.895]","[0.016, -0.021, 0.004]","[0.004, -0.025, 0.021]","[0.012, 0.004, -0.017]"
Young Jeezy,"[0.049, 0.043, 0.908]","[0.0, 0.0, -0.0]","[0.0, -0.0, -0.0]","[-0.0, 0.001, -0.0]"
Z-Ro,"[0.055, 0.054, 0.891]","[0.023, -0.006, -0.016]","[0.002, 0.001, -0.003]","[0.021, -0.007, -0.014]"
Zac Brown Band,"[0.076, 0.041, 0.884]","[0.03, -0.025, -0.005]","[0.003, -0.01, 0.006]","[0.027, -0.016, -0.011]"
Zao,"[0.064, 0.066, 0.87]","[-0.008, 0.007, 0.001]","[0.0, 0.016, -0.016]","[-0.008, -0.009, 0.017]"
Zebra,"[0.088, 0.048, 0.864]","[-0.009, 0.007, 0.002]","[-0.011, 0.01, 0.001]","[0.002, -0.004, 0.002]"
Zebrahead,"[0.055, 0.053, 0.892]","[-0.015, 0.025, -0.01]","[-0.008, 0.017, -0.009]","[-0.007, 0.008, -0.001]"
Zero 7,"[0.066, 0.04, 0.894]","[-0.042, 0.013, 0.028]","[-0.035, 0.005, 0.029]","[-0.007, 0.008, -0.001]"
Zeromancer,"[0.071, 0.058, 0.871]","[-0.003, -0.068, 0.07]","[-0.001, -0.038, 0.04]","[-0.001, -0.03, 0.031]"
Ziggy Marley,"[0.097, 0.053, 0.85]","[0.006, -0.016, 0.011]","[-0.01, 0.002, 0.008]","[0.016, -0.019, 0.003]"
Zornik,"[0.085, 0.063, 0.853]","[-0.06, -0.047, 0.107]","[-0.04, -0.018, 0.059]","[-0.019, -0.029, 0.048]"
Zucchero,"[0.087, 0.049, 0.864]","[0.01, -0.017, 0.008]","[0.038, -0.002, -0.036]","[-0.028, -0.016, 0.044]"
ZZ Top,"[0.064, 0.043, 0.893]","[0.024, 0.004, -0.028]","[0.013, 0.008, -0.021]","[0.011, -0.004, -0.006]"
Andrea Bocelli,"[0.028, 0.03, 0.943]","[-0.02, -0.018, 0.038]","[-0.007, -0.003, 0.01]","[-0.013, -0.015, 0.027]"
