Artist,avgSent,deltaSTotal,deltaSEarly,deltaSLate
Ed Sheeran,"[0.094, 0.042, 0.864]","[0.065, 0.009, -0.074]","[0.057, 0.006, -0.064]","[0.008, 0.002, -0.01]"
Eddie Cochran,"[0.086, 0.034, 0.88]","[0.011, 0.025, -0.037]","[0.021, 0.029, -0.05]","[-0.01, -0.004, 0.014]"
Electric Light Orchestra,"[0.071, 0.048, 0.881]","[0.03, 0.0, -0.031]","[0.021, -0.006, -0.016]","[0.009, 0.006, -0.015]"
Ella Fitzgerald,"[0.086, 0.044, 0.87]","[0.021, -0.009, -0.012]","[0.02, -0.009, -0.012]","[0.001, -0.001, -0.0]"
Ellie Goulding,"[0.073, 0.052, 0.875]","[0.02, -0.015, -0.005]","[0.014, -0.005, -0.009]","[0.006, -0.01, 0.004]"
Elton John,"[0.063, 0.049, 0.888]","[0.05, 0.009, -0.059]","[0.047, 0.006, -0.052]","[0.003, 0.004, -0.007]"
Elvis Costello,"[0.07, 0.061, 0.869]","[-0.011, 0.011, 0.0]","[0.003, -0.003, -0.0]","[-0.014, 0.014, 0.0]"
Elvis Presley,"[0.09, 0.042, 0.868]","[-0.024, -0.036, 0.06]","[-0.023, -0.031, 0.054]","[-0.001, -0.005, 0.006]"
Eminem,"[0.044, 0.048, 0.908]","[0.01, 0.002, -0.012]","[0.002, -0.002, -0.0]","[0.009, 0.003, -0.012]"
Emmylou Harris,"[0.07, 0.049, 0.881]","[-0.061, -0.017, 0.078]","[-0.05, -0.014, 0.064]","[-0.012, -0.003, 0.014]"
Engelbert Humperdinck,"[0.099, 0.043, 0.858]","[-0.029, 0.016, 0.013]","[-0.024, 0.014, 0.01]","[-0.005, 0.002, 0.003]"
Enigma,"[0.062, 0.041, 0.897]","[-0.064, -0.039, 0.103]","[-0.042, -0.03, 0.072]","[-0.022, -0.009, 0.03]"
Enrique Iglesias,"[0.082, 0.048, 0.87]","[0.018, -0.059, 0.041]","[0.022, -0.056, 0.034]","[-0.004, -0.003, 0.007]"
Enya,"[0.069, 0.029, 0.903]","[-0.026, 0.003, 0.024]","[-0.028, 0.003, 0.025]","[0.001, 0.0, -0.001]"
Erasure,"[0.098, 0.051, 0.85]","[0.039, 0.007, -0.046]","[0.013, 0.007, -0.02]","[0.026, -0.0, -0.026]"
Eric Clapton,"[0.083, 0.041, 0.876]","[-0.063, -0.024, 0.087]","[-0.04, -0.012, 0.052]","[-0.023, -0.012, 0.035]"
Erik Santos,"[0.06, 0.031, 0.909]","[0.013, 0.047, -0.06]","[-0.019, 0.001, 0.017]","[0.032, 0.045, -0.078]"
Etta James,"[0.102, 0.039, 0.859]","[-0.031, 0.005, 0.026]","[-0.031, 0.013, 0.018]","[-0.001, -0.008, 0.009]"
Europe,"[0.072, 0.053, 0.875]","[-0.02, -0.019, 0.039]","[-0.003, -0.006, 0.009]","[-0.017, -0.013, 0.03]"
Eurythmics,"[0.078, 0.052, 0.87]","[-0.064, -0.013, 0.077]","[0.0, 0.008, -0.008]","[-0.064, -0.021, 0.085]"
Evanescence,"[0.069, 0.064, 0.867]","[-0.007, -0.019, 0.026]","[-0.007, -0.031, 0.039]","[0.0, 0.012, -0.012]"
Everclear,"[0.087, 0.058, 0.854]","[-0.007, 0.002, 0.005]","[0.003, 0.004, -0.006]","[-0.009, -0.002, 0.011]"
Everlast,"[0.057, 0.05, 0.894]","[-0.014, 0.019, -0.005]","[-0.01, 0.018, -0.007]","[-0.004, 0.002, 0.002]"
Extreme,"[0.073, 0.043, 0.884]","[0.008, 0.004, -0.012]","[0.004, 0.004, -0.008]","[0.004, -0.001, -0.003]"
Fabolous,"[0.056, 0.048, 0.896]","[0.028, 0.003, -0.031]","[0.003, 0.005, -0.008]","[0.024, -0.001, -0.023]"
Faces,"[0.066, 0.045, 0.889]","[-0.006, -0.041, 0.047]","[-0.008, -0.03, 0.039]","[0.002, -0.011, 0.008]"
Faith Hill,"[0.086, 0.041, 0.873]","[-0.005, -0.009, 0.014]","[0.005, -0.005, 0.0]","[-0.01, -0.004, 0.014]"
